"pid","grp","duration","entry","exit","num","ind"
15,"inactive",28,5,49,6294,1
24,"inactive",5,0,32,6294,1
26,"inactive",5,0,27,6294,1
28,"inactive",5,0,21,6294,1
29,"inactive",5,0,26,6294,1
39,"inactive",5,0,23,6294,1
41,"inactive",33,9,53,6294,1
45,"inactive",5,0,25,6294,1
53,"inactive",5,0,27,6294,1
59,"inactive",36,11,56,6294,1
60,"inactive",6,0,24,6294,1
70,"inactive",7,0,26,6294,1
82,"inactive",9,0,32,6294,1
109,"inactive",11,0,32,6294,1
116,"inactive",25,3,43,6294,1
130,"inactive",12,0,32,6294,1
145,"inactive",14,0,35,6294,1
150,"inactive",14,0,40,6294,1
160,"inactive",15,0,33,6294,1
161,"inactive",15,0,35,6294,1
163,"inactive",16,0,33,6294,1
165,"inactive",16,0,45,6294,1
172,"inactive",16,0,36,6294,1
173,"inactive",16,0,37,6294,1
174,"inactive",16,0,37,6294,1
178,"inactive",58,25,80,6294,1
181,"inactive",17,0,33,6294,1
184,"inactive",17,0,38,6294,1
185,"inactive",27,4,49,6294,1
186,"inactive",44,15,69,6294,1
193,"inactive",17,0,38,6294,1
196,"inactive",18,0,38,6294,1
213,"inactive",58,25,81,6294,1
218,"inactive",27,4,50,6294,1
219,"inactive",31,7,48,6294,1
221,"inactive",51,19,69,6294,1
230,"inactive",38,12,58,6294,1
236,"inactive",19,0,39,6294,1
241,"inactive",37,11,57,6294,1
244,"inactive",47,17,70,6294,1
248,"inactive",42,14,61,6294,1
251,"inactive",42,14,63,6294,1
270,"inactive",47,17,66,6294,1
275,"inactive",68,30,87,6294,1
289,"inactive",20,0,42,6294,1
296,"inactive",63,28,80,6294,1
320,"inactive",27,4,46,6294,1
330,"inactive",28,4,47,6294,1
338,"inactive",60,26,82,6294,1
339,"inactive",33,8,51,6294,1
348,"inactive",20,0,44,6294,1
350,"inactive",29,5,46,6294,1
363,"inactive",35,10,55,6294,1
377,"inactive",31,7,52,6294,1
398,"inactive",45,15,67,6294,1
402,"inactive",36,10,56,6294,1
410,"inactive",35,9,57,6294,1
426,"inactive",61,26,81,6294,1
427,"inactive",85,41,106,6294,1
434,"inactive",50,18,73,6294,1
439,"inactive",39,12,63,6294,1
443,"inactive",62,27,83,6294,1
450,"inactive",92,46,110,6294,1
460,"inactive",89,43,113,6294,1
461,"inactive",61,26,80,6294,1
464,"inactive",71,32,91,6294,1
472,"inactive",73,34,94,6294,1
481,"inactive",50,18,70,6294,1
482,"inactive",77,37,97,6294,1
486,"inactive",107,57,130,6294,1
500,"inactive",88,42,105,6294,1
503,"inactive",71,32,88,6294,1
504,"inactive",57,24,78,6294,1
505,"inactive",89,43,107,6294,1
511,"inactive",44,14,70,6294,1
516,"inactive",46,16,64,6294,1
524,"inactive",59,25,79,6294,1
526,"inactive",48,17,66,6294,1
532,"inactive",71,32,90,6294,1
543,"inactive",50,18,73,6294,1
552,"inactive",44,14,66,6294,1
555,"inactive",62,27,86,6294,1
556,"inactive",70,31,91,6294,1
564,"inactive",61,26,81,6294,1
565,"inactive",71,32,87,6294,1
571,"inactive",56,23,77,6294,1
584,"inactive",57,24,75,6294,1
591,"inactive",62,27,86,6294,1
594,"inactive",73,34,96,6294,1
612,"inactive",61,26,83,6294,1
615,"inactive",36,10,59,6294,1
617,"inactive",84,40,104,6294,1
620,"inactive",51,18,71,6294,1
621,"inactive",76,36,93,6294,1
634,"inactive",90,44,111,6294,1
639,"inactive",84,40,109,6294,1
648,"inactive",86,41,106,6294,1
651,"inactive",73,34,93,6294,1
659,"inactive",82,39,103,6294,1
665,"inactive",56,22,81,6294,1
675,"inactive",76,36,96,6294,1
681,"inactive",82,39,101,6294,1
694,"inactive",104,55,122,6294,1
701,"inactive",91,45,110,6294,1
702,"inactive",102,54,126,6294,1
705,"inactive",76,36,99,6294,1
707,"inactive",89,43,111,6294,1
713,"inactive",76,36,96,6294,1
715,"inactive",77,36,97,6294,1
718,"inactive",84,40,102,6294,1
722,"inactive",73,33,98,6294,1
723,"inactive",96,49,116,6294,1
729,"inactive",86,41,105,6294,1
748,"inactive",87,41,106,6294,1
751,"inactive",82,39,100,6294,1
